puzzleid,red_list,green_list,blue_list,stars
10460,6,5,133,32
10459,3,22,83,31
10458,4,1,62,66
10457,4,1,62,66
10456,4,1,62,66
10455,1,6,2,4
10454,122,0,0,3
10453,0,0,13,4
10452,48,0,4,2
10451,126,0,66,1
10450,16,9,74,10
10449,27,0,64,12
10448,2,10,39,12
10447,5,4,79,60
10446,15,8,88,109
10445,21,1,15,7
10444,6,6,90,1
10443,50,4,89,1
10442,1,1,4,2
10441,4,17,54,12
10440,7,1,50,1
10439,4,4,50,1
10438,7,0,52,7
10437,32,37,47,48
10436,49,43,84,15
10435,34,4,89,18
10434,12,3,38,4
10433,6,1,48,8
10432,1,2,94,1
10431,3,0,94,1
10430,2,3,58,62
10429,32,35,38,9
10428,3,2,58,62
10427,26,19,27,4
10426,23,5,44,26
10425,6,8,114,1
10424,0,49,47,46
10423,17,9,14,3
10422,23,2,42,66
10421,24,5,23,3
10420,14,5,84,14
10419,8,0,106,21
10418,1,0,95,95
10417,26,4,24,5
10416,32,3,25,11
10415,5,8,117,78
10414,20,0,20,1
10413,20,1,19,1
10412,48,2,45,4
10398,14,1,98,85
10386,28,33,34,1
10385,1,0,4,2
10384,4,16,36,7
10383,12,2,90,25
10382,3,1,128,14
10381,23,2,156,36
10380,16,12,77,1
10379,5,24,33,27
10378,33,13,69,114
10377,12,9,91,111
10376,32,5,35,31
10375,12,24,66,101
10374,0,0,22,11
10373,22,37,34,92
10372,4,134,54,38
10371,19,32,33,5
10370,3,3,36,2
10369,13,11,36,45
10368,4,0,100,28
10367,32,0,72,28
10366,0,20,2,3
10365,8,8,81,96
10364,18,6,22,2
10363,1,8,94,102
10362,15,17,81,16
10361,9,22,78,108
10360,3,65,12,79
10359,9,28,15,15
10358,12,55,13,79
10357,9,0,114,122
10356,6,3,95,103
10355,0,0,21,20
10354,1,0,77,77
10352,20,5,127,151
10351,65,43,36,3
10350,13,13,13,12
10349,96,0,53,52
10348,72,0,57,128
10347,19,2,50,1
10346,8,21,8,4
10345,11,8,38,6
10344,21,15,72,80
10343,8,20,17,40
10342,8,33,17,56
10341,3,1,128,131
10340,3,1,92,95
10339,13,28,87,21
10338,17,20,51,30
10337,23,0,89,111
10336,8,0,55,14
10335,6,0,96,40
10334,14,8,88,22
10333,78,18,16,31
10332,8,1,92,100
10331,13,10,63,13
10330,6,2,26,8
10329,30,4,42,75
10328,5,56,1,1
10327,15,0,92,106
10326,9,0,59,67
10325,8,0,122,129
10323,20,7,64,90
10322,41,0,29,41
10321,29,0,41,29
10320,3,1,122,125
10319,92,0,32,123
10318,90,0,32,121
10317,9,1,27,1
10316,38,0,60,38
10315,7,7,100,113
10314,6,12,91,16
10313,25,24,105,152
10312,11,15,73,10
10311,11,17,75,10
10310,16,20,64,63
10309,28,19,83,129
10308,11,13,74,73
10307,24,19,98,140
10306,24,18,50,4
10305,22,16,42,4
10304,6,1,95,101
10303,101,0,1,1
10302,20,59,6,59
10301,0,2,100,101
10300,15,4,97,115
10299,23,16,40,1
10298,13,17,71,1
10297,12,6,101,26
10296,11,4,100,6
10294,0,30,11,30
10293,15,11,69,94
10292,54,58,26,5
10291,0,0,59,1
10290,13,0,49,12
10289,32,48,32,111
10288,68,29,47,13
10287,9,17,14,16
10286,8,6,88,1
10285,14,0,88,1
10284,10,1,43,20
10283,10,0,13,1
10282,5,0,61,19
10281,5,0,61,19
10280,0,0,18,17
10279,12,2,85,18
10278,3,6,16,1
10277,12,2,85,18
10276,7,10,11,1
10275,7,8,9,1
10274,20,4,3,4
10273,0,9,2,1
10272,20,6,117,142
10271,8,50,22,79
10270,1,32,1,1
10269,16,0,0,1
10268,8,13,0,1
10267,4,17,2,1
10266,0,13,0,1
10265,14,8,79,14
10264,17,0,64,80
10263,192,0,0,38
10262,8,46,20,73
10261,11,2,132,144
10259,18,67,18,12
10258,20,6,71,11
10257,6,0,81,7
10256,10,2,78,14
10255,15,6,77,41
10254,17,6,67,41
10253,9,2,73,5
10252,7,6,56,68
10251,14,14,42,38
10250,9,11,48,31
10249,24,64,72,27
10248,3,1,113,116
10247,3,1,113,116
10246,48,48,60,35
10245,35,4,3,7
10244,12,5,68,84
10243,10,1,74,83
10242,12,4,75,86
10241,0,31,7,1
10240,18,37,21,3
10239,3,3,50,9
10238,23,1,67,90
10237,0,1,5,1
10236,1,10,153,13
10235,12,2,76,89
10234,16,0,48,63
10233,16,0,80,95
10232,20,26,51,96
10231,20,3,69,91
10230,1,0,8,1
10229,0,0,23,22
10228,11,1,38,49
10227,4,9,98,110
10226,31,26,19,1
10225,5,12,16,1
10224,0,7,34,3
10223,0,2,18,3
10222,37,8,1,9
10221,12,3,61,3
10220,12,20,32,22
10219,6,5,54,11
10218,4,4,13,3
10217,0,1,4,3
10216,5,5,18,9
10215,1,0,11,3
10214,10,8,24,11
10213,7,61,4,62
10212,20,11,13,6
10211,6,5,59,1
10210,0,0,30,3
10209,0,4,37,15
10208,24,0,138,23
10207,13,28,24,20
10206,9,8,9,5
10205,2,29,4,6
10204,13,1,17,16
10203,5,5,18,5
10202,28,7,4,2
10201,6,12,9,12
10200,8,2,3,4
10199,0,0,9,1
10198,12,15,34,11
10197,12,0,4,11
10196,3,5,17,7
10195,0,0,18,1
10194,0,0,6,1
10193,1,20,100,120
10192,14,11,4,1
10191,0,1,18,1
10190,3,10,23,4
10189,2,0,190,22
10188,24,0,6,4
10187,8,8,61,1
10186,54,1,13,16
10185,0,0,40,7
10184,0,0,18,17
10183,1,3,23,3
10182,20,33,30,7
10181,1,18,24,9
10180,4,1,46,1
10179,7,3,182,1
10178,3,2,36,1
10177,1,5,24,4
10176,0,0,21,1
10175,6,16,16,1
10174,12,11,169,1
10173,2,8,49,11
10172,43,9,11,2
10171,8,16,18,4
10170,2,2,11,5
10169,9,8,8,19
10168,9,8,8,7
10167,0,7,36,2
10166,15,6,60,8
10165,12,16,37,9
10164,92,51,49,24
10163,16,79,9,3
10162,44,9,14,19
10161,3,6,32,5
10160,42,2,26,3
10159,0,25,3,25
10158,18,27,17,1
10157,6,6,25,36
10156,6,42,7,9
10155,4,0,8,5
10154,20,15,0,10
10153,0,0,21,4
10152,2,10,67,9
10151,11,22,13,10
10150,0,4,28,4
10149,56,17,18,2
10148,0,0,4,2
10147,0,0,6,2
10146,12,4,33,10
10145,8,7,9,3
10144,1,4,4,4
10143,1,6,21,3
10142,10,4,37,49
10141,4,4,56,1
10140,48,13,42,13
10139,65,31,36,1
10138,3,3,14,1
10137,21,8,39,12
10136,2,2,20,4
10135,2,2,1,4
10134,3,9,66,13
10133,3,3,21,5
10132,10,6,7,10
10131,3,2,25,5
10130,4,22,18,1
10129,1,2,189,3
10128,0,4,20,3
10127,3,11,20,14
10126,4,0,4,2
10125,29,29,37,1
10124,9,5,103,13
10123,7,35,13,1
10122,3,8,50,5
10121,0,28,44,27
10120,10,11,2,17
10119,4,5,39,38
10118,0,6,12,7
10117,0,0,52,2
10116,0,0,33,2
10115,11,16,24,1
10114,4,0,24,3
10113,4,5,183,15
10112,13,10,38,4
10111,44,41,26,28
10110,52,56,82,107
10109,13,16,17,1
10108,14,12,14,1
10107,8,24,5,20
10106,8,7,4,10
10105,4,3,39,1
10104,4,19,9,4
10103,7,5,25,6
10102,4,2,39,1
10101,4,3,19,3
10100,2,32,34,1
10099,2,2,8,4
10098,5,28,31,1
10097,4,17,0,20
10096,44,4,12,5
10095,44,4,12,5
10094,8,2,16,4
10093,16,8,27,32
10092,60,4,17,2
10088,11,8,23,14
10087,49,32,47,18
10086,0,0,17,3
10084,0,0,40,15
10078,6,6,32,5
10077,8,0,41,7
10076,9,4,7,12
10075,6,10,12,7
10074,10,5,10,4
10073,34,38,89,3
10072,20,12,32,4
10071,6,6,52,2
10070,13,3,82,20
10069,13,3,82,20
10068,0,0,16,1
10067,1,0,30,15
10066,4,3,38,8
10065,3,12,13,7
10064,24,16,12,17
10063,4,6,39,6
10062,29,9,20,6
10061,12,8,20,25
10060,15,3,24,15
10059,1,1,14,3
10058,2,2,41,8
10057,33,2,7,21
10056,5,7,55,5
10055,2,5,19,15
10054,2,2,9,9
10053,1,3,9,8
10052,6,8,20,7
10051,15,11,6,31
10050,55,2,49,11
10049,7,7,118,131
10048,8,4,58,14
10047,13,89,90,13
10046,26,17,22,1
10045,20,20,40,1
10044,8,2,51,7
10043,2,3,26,4
10042,0,0,29,28
10041,0,12,51,62
10040,10,5,103,1
10039,12,1,2,2
10038,0,12,72,83
10037,34,13,34,8
10036,44,52,2,26
10035,6,7,6,1
10034,25,45,110,43
10033,0,0,25,4
10032,0,0,32,2
10031,43,4,6,4
10030,1,4,27,6
10029,5,5,4,1
10028,33,19,5,11
10027,6,14,32,7
10026,30,8,26,1
10025,9,8,163,13
10024,24,0,0,8
10023,17,72,4,21
10022,0,0,64,24
10021,23,20,9,7
10020,10,9,61,6
10019,0,4,29,8
10018,31,10,5,39
10017,4,8,60,24
10016,5,3,12,9
10015,1,10,27,8
10014,4,23,5,4
10013,10,7,27,21
10012,9,44,77,129
10011,6,5,29,4
10010,4,54,33,90
10009,6,5,19,8
10008,101,21,28,8
10007,6,3,41,8
10006,9,116,67,4
10005,17,13,28,5
10004,183,7,2,5
10003,64,73,50,1
10002,3,7,43,4
10001,13,147,32,14
10000,11,0,100,110
9999,6,5,100,110
9998,82,75,35,6
9997,0,9,90,83
9996,0,1,47,47
9995,14,1,64,78
9994,0,8,85,77
9993,14,1,64,78
9992,4,53,6,8
9991,9,35,14,9
9990,8,6,66,1
9989,1,3,48,5
9988,37,30,55,11
9987,2,1,29,5
9986,56,30,22,20
9985,1,0,12,4
9984,1,1,22,2
9983,5,3,15,3
9982,3,3,40,13
9981,15,72,105,5
9980,2,2,13,1
9979,74,66,52,3
9978,2,3,27,2
9977,46,77,69,8
9976,22,2,168,27
9975,9,14,17,6
9974,10,43,59,1
9973,60,0,60,8
9972,11,28,9,3
9971,92,0,4,5
9970,46,38,40,8
9969,16,82,16,16
9968,0,16,69,45
9967,0,4,35,38
9966,14,1,14,2
9965,0,13,62,13
9964,5,6,47,19
9963,2,5,30,8
9962,12,12,57,11
9961,4,4,30,1
9960,1,2,5,1
9959,13,3,90,105
9958,1,0,20,4
9957,21,8,163,12
9956,0,80,0,79
9955,33,4,28,13
9954,12,4,93,1
9953,1,5,13,1
9952,1,17,3,15
9951,8,4,12,13
9950,3,0,17,1
9949,6,0,34,39
9948,2,0,2,1
9947,20,22,74,16
9946,23,18,1,10
9945,2,3,29,8
9944,2,2,27,5
9943,70,84,38,69
9942,22,23,36,20
9941,68,76,14,12
9940,20,4,60,83
9939,0,0,36,7
9938,0,28,131,5
9937,62,1,84,5
9936,1,1,7,8
9935,3,2,8,12
9934,24,12,100,28
9933,14,0,91,104
9932,16,0,112,127
9931,51,89,14,20
9930,16,72,16,31
9929,16,16,40,24
9928,0,0,23,1
9927,14,37,49,5
9926,24,24,0,10
9925,18,6,78,14
9924,6,18,2,1
9923,1,0,16,2
9922,0,0,7,2
9921,1,2,11,1
9920,12,80,36,1
9919,53,54,46,9
9918,16,0,112,127
9917,16,0,5,16
9916,15,0,102,116
9915,39,6,5,10
9914,8,6,92,1
9913,12,65,3,3
9912,3,4,26,10
9911,8,8,91,1
9910,10,7,71,87
9909,3,3,16,5
9908,0,0,14,13
9907,3,0,12,5
9906,2,1,8,5
9905,26,4,71,4
9904,8,39,5,1
9903,67,56,22,1
9902,105,29,7,1
9898,0,1,25,1
9897,4,6,29,8
9896,0,0,19,9
9895,47,36,29,9
9894,37,23,27,5
9893,4,7,69,26
9892,25,0,74,98
9891,4,12,17,6
9890,7,11,67,84
9889,1,0,7,7
9888,3,3,5,8
9887,3,4,18,7
9886,16,8,91,85
9885,2,17,17,1
9884,16,8,91,85
9883,11,7,73,20
9882,32,29,27,2
9881,5,8,73,85
9880,0,12,69,80
9879,0,12,69,80
9878,17,0,49,1
9877,15,0,59,19
9876,22,23,9,4
9875,48,18,48,1
9874,19,29,55,15
9873,5,178,9,14
9872,1,5,26,1
9871,140,0,52,11
9870,10,11,9,6
9869,0,69,62,130
9868,7,86,9,54
9867,6,37,62,53
9866,24,7,106,29
9865,6,7,68,80
9864,1,0,13,2
9863,13,20,68,67
9862,2,65,9,1
9861,9,6,9,7
9860,11,64,7,19
9859,10,13,66,23
9858,20,5,20,8
9857,15,4,44,48
9856,4,3,1,2
9855,27,2,5,4
9854,10,19,37,19
9853,2,12,19,1
9852,10,3,63,6
9851,10,20,83,112
9850,2,14,2,11
9849,47,1,55,23
9848,4,6,24,18
9847,14,2,39,11
9846,7,14,18,15
9845,1,4,24,5
9844,1,4,13,4
9843,1,4,12,4
9842,12,14,2,5
9841,0,0,4,3
9840,15,10,116,1
9839,42,10,48,57
9838,0,2,2,3
9837,10,44,64,73
9836,8,0,48,55
9835,8,5,100,112
9834,32,75,85,79
9833,67,10,41,78
9832,15,0,130,30
9831,5,1,15,1
9830,23,5,86,113
9829,35,72,0,1
9828,22,0,146,167
9827,8,0,76,5
9826,14,1,76,1
9825,13,1,77,1
9824,8,0,88,9
9823,30,9,9,10
9822,12,0,72,35
9821,7,9,32,17
9820,2,5,99,4
9819,2,5,100,5
9818,8,4,54,64
9817,8,8,30,8
9816,0,9,38,4
9815,2,1,56,53
9814,16,5,109,11
9813,0,1,68,28
9812,36,36,95,71
9811,38,30,99,36
9810,38,30,99,36
9809,52,16,99,36
9808,41,19,88,4
9807,4,0,188,62
9806,3,1,140,143
9805,3,1,140,143
9804,3,1,9,3
9803,22,1,81,14
9802,17,0,37,18
9801,20,0,12,21
9800,56,4,48,48
9799,3,2,22,6
9798,0,0,45,19
9797,0,2,18,4
9796,30,5,1,1
9795,30,5,1,1
9794,4,8,47,58
9793,72,72,48,42
9792,1,8,1,3
9791,1,8,32,5
9790,0,1,25,2
9789,5,15,35,1
9788,14,1,80,94
9787,1,1,37,13
9786,0,24,0,23
9785,6,5,24,10
9784,2,18,3,3
9783,0,0,11,7
9782,20,12,9,4
9781,2,2,16,1
9780,8,12,1,12
9779,3,1,26,25
9778,5,5,138,58
9777,6,4,25,4
9776,30,4,2,3
9775,68,4,120,15
9774,4,0,26,3
9773,44,0,48,2
9772,0,0,45,2
9771,7,5,16,1
9770,8,1,34,14
9769,0,0,18,4
9768,0,0,18,4
9767,55,22,35,8
9766,5,2,25,30
9765,23,2,112,22
9764,1,0,89,11
9763,2,44,9,6
9762,7,20,16,7
9761,10,34,112,61
9760,16,28,51,50
9759,3,3,42,7
9758,3,8,62,32
9757,9,0,62,2
9756,7,1,63,1
9755,4,8,179,1
9754,16,0,70,48
9753,5,35,2,6
9752,33,22,67,109
9751,2,29,6,22
9750,30,12,25,5
9744,8,14,15,7
9743,6,9,72,7
9742,9,3,77,88
9741,9,3,77,88
9740,24,18,21,4
9739,0,4,35,1
9738,16,15,57,15
9737,11,8,25,1
9736,10,9,44,10
9735,20,0,56,20
9734,16,15,57,15
9733,10,9,44,10
9732,6,5,48,6
9731,9,15,59,4
9730,19,31,61,5
9729,19,0,84,21
9728,19,1,85,104
9727,19,1,85,1
9726,16,1,62,78
9725,19,2,82,21
9724,13,2,64,21
9723,15,19,75,108
9722,2,2,26,29
9721,11,3,66,11
9720,41,10,94,3
9719,12,8,76,12
9718,4,2,13,4
9717,11,1,58,2
9716,48,34,68,10
9715,46,10,25,21
9714,14,13,48,2
9713,9,17,43,68
9712,4,7,82,84
9711,6,3,84,92
9710,8,2,28,11
9709,9,42,79,55
9708,25,22,94,47
9707,0,0,6,5
9706,3,3,11,4
9705,13,1,79,92
9704,39,24,39,1
9703,3,11,9,14
9702,5,4,42,2
9701,26,0,52,10
9700,14,54,26,11
9699,11,7,79,20
9698,11,9,86,105
9697,17,2,91,17
9696,52,4,10,65
9695,48,48,96,35
9694,15,18,45,13
9693,15,0,34,6
9692,2,56,72,60
9691,7,7,3,2
9690,10,172,10,10
9689,8,0,43,14
9688,20,4,17,23
9687,48,37,18,17
9686,4,1,12,4
9685,5,20,1,4
9684,42,72,66,38
9683,4,40,24,67
9682,2,0,16,4
9681,56,16,9,16
9680,36,42,36,6
9679,4,5,65,12
9678,2,8,62,3
9677,32,60,36,8
9676,6,6,24,11
9675,8,10,38,1
9674,11,37,6,11
9673,22,12,45,1
9672,6,14,14,1
9671,88,0,7,1
9670,4,4,73,8
9669,0,0,49,48
9668,0,0,49,48
9667,0,0,20,1
9666,0,0,6,1
9665,6,24,77,106
9664,6,24,78,107
9663,19,17,64,16
9662,0,23,9,7
9661,5,48,14,2
9660,3,3,4,1
9659,3,3,4,1
9658,1,26,9,12
9657,2,2,10,1
9656,7,10,22,9
9655,40,1,3,2
9654,0,0,26,19
9653,12,0,96,5
9652,17,0,85,10
9651,54,0,55,1
9650,45,15,36,1
9649,4,0,93,96
9648,3,4,13,3
9647,16,52,43,9
9646,28,28,60,12
9645,7,2,23,3
9644,68,7,55,5
9643,19,15,118,7
9642,11,13,26,6
9641,4,5,41,9
9640,21,0,57,75
9639,5,4,43,8
9637,5,6,17,10
9636,76,10,6,18
9635,3,2,24,5
9634,0,0,192,19
9633,38,8,12,4
9632,5,2,21,2
9631,2,6,44,7
9630,2,5,24,2
9629,10,14,168,5
9628,0,0,40,1
9627,5,0,17,2
9626,1,0,38,1
9625,0,0,15,1
9624,5,1,60,4
9623,6,0,25,6
9622,2,3,49,1
9621,36,14,22,37
9620,8,0,39,7
9619,10,10,61,20
9618,7,9,77,2
9617,9,8,64,17
9614,10,15,13,2
9613,4,6,56,2
9612,6,7,94,1
9611,0,1,8,2
9610,0,0,19,2
9609,5,4,74,10
9608,17,11,164,5
9607,16,1,21,25
9606,5,7,179,47
9605,0,15,17,31
9601,5,0,63,4
9600,12,12,168,24
9591,3,1,84,63
9590,27,0,62,88
9589,7,0,33,8
9588,6,0,27,19
9587,3,1,41,1
9586,59,0,14,25
9585,12,41,4,8
9584,27,0,62,88
9583,0,0,31,10
9582,0,0,9,1
9581,10,60,1,70
9580,2,0,59,12
9579,3,1,84,63
9578,3,1,84,64
9577,0,0,8,3
9576,0,0,4,2
9575,0,0,10,3
9574,24,29,89,9
9573,6,1,80,25
9572,6,65,1,17
9571,3,1,106,109
9570,3,1,106,109
9569,18,15,19,15
9568,4,20,66,7
9567,13,14,95,23
9566,32,22,35,88
9565,8,5,74,86
9564,29,68,32,57
9563,8,38,22,9
9562,33,0,33,65
9561,0,0,3,2
9560,0,0,5,1
9559,19,0,88,59
9558,0,0,4,1
9557,36,12,96,59
9556,2,0,70,12
9555,2,4,21,4
9554,12,51,39,13
9553,2,0,59,12
9552,13,52,35,99
9551,5,1,79,84
9550,12,0,70,16
9549,8,4,60,16
9548,5,12,72,88
9547,5,12,72,88
9546,9,36,26,70
9545,0,5,60,10
9544,0,1,16,4
9543,16,9,40,11
9542,2,51,39,46
9541,2,75,15,70
9540,0,6,26,31
9539,11,0,96,2
9538,1,0,18,2
9537,9,0,40,8
9536,10,28,56,93
9535,12,15,33,59
9534,65,60,67,191
9533,24,59,32,114
9532,6,0,70,75
9531,13,1,96,109
9530,10,8,78,95
9529,1,3,54,57
9528,10,1,66,76
9527,17,15,21,52
9526,1,0,80,48
9525,8,20,35,62
9524,2,0,68,42
9523,11,1,79,90
9522,10,0,91,100
9521,10,0,91,100
9520,12,37,27,75
9519,15,42,39,95
9518,65,1,41,1
9517,5,3,71,9
9516,97,1,4,101
9515,12,9,62,82
9514,12,6,20,12
9513,13,1,51,1
9512,15,15,25,54
9511,60,0,73,60
9510,18,12,71,1
9509,62,38,7,28
9508,16,22,64,4
9507,0,19,49,6
9506,10,1,37,1
9505,44,92,28,96
9504,17,8,2,16
9503,54,4,48,48
9502,0,1,28,2
9501,3,13,2,5
9500,1,1,18,2
9499,13,4,72,87
9498,19,12,9,12
9497,5,3,73,31
9496,0,67,54,67
9495,23,29,57,108
9494,0,0,14,2
9493,2,1,22,1
9492,12,84,30,1
9491,32,20,69,80
9490,32,20,69,88
9489,60,0,0,31
9488,6,6,15,24
9487,8,7,7,1
9486,11,11,60,81
9485,6,7,22,17
9484,41,45,35,120
9483,25,0,37,61
9482,2,1,24,2
9481,20,0,89,1
9480,14,0,94,1
9479,36,0,64,36
9478,0,3,57,2
9477,2,4,66,60
9476,9,18,31,57
9475,0,5,21,25
9474,3,7,63,13
9473,29,121,41,3
9472,43,25,39,26
9471,13,5,18,18
9470,12,5,18,18
9469,13,5,19,19
9468,44,52,48,143
9467,57,42,47,34
9466,12,6,102,23
9465,0,25,79,44
9464,6,30,54,36
9463,27,0,65,91
9462,43,70,8,120
9461,21,12,43,34
9460,57,4,58,17
9459,16,2,97,112
9458,0,21,100,21
9457,26,0,88,113
9456,23,1,23,11
9455,62,14,4,8
9454,0,192,0,20
9453,110,48,34,16
9452,16,55,39,8
9451,16,47,66,128
9450,0,17,87,17
9449,0,42,48,41
9448,2,0,58,59
9447,91,0,0,30
9446,26,22,22,69
9445,0,87,48,134
9444,31,56,75,105
9443,0,21,42,20
9441,6,0,94,8
9440,11,11,166,187
9439,5,0,59,63
9438,19,37,44,43
9437,4,11,5,6
9436,4,0,44,43
9435,0,7,81,80
9434,1,0,8,4
9432,65,49,78,68
9431,59,36,34,59
9423,13,5,66,83
9422,60,4,80,74
9421,22,57,47,125
9420,58,35,50,57
9419,42,51,0,42
9418,8,1,183,83
9417,29,15,55,46
9416,66,1,25,91
9415,1,2,91,70
9413,0,0,112,16
9412,2,4,28,7
9411,8,21,85,21
9410,36,26,46,81
9409,100,4,0,21
9408,36,8,47,36
9407,26,56,24,27
9406,11,8,148,125
9405,33,52,33,12
9404,62,13,44,16
9403,46,19,46,15
9402,44,43,93,69
9401,70,64,58,26
9400,4,12,18,12
9396,24,42,12,12
9395,6,5,100,110
9394,8,0,16,23
9393,4,12,83,98
9392,0,21,50,70
9391,16,11,58,1
9390,11,5,17,16
9389,32,26,44,2
9388,21,41,97,158
9387,68,14,30,75
9386,52,16,52,104
9385,44,24,62,74
9384,3,52,25,79
9383,53,3,8,63
9382,16,29,92,74
9381,14,29,71,37
9380,11,34,62,1
9379,11,6,61,77
9378,8,48,41,94
9377,67,11,41,51
9376,9,36,39,33
9375,11,0,67,1
9374,14,52,87,61
9373,9,46,35,45
9372,10,15,18,42
9371,38,34,59,130
9370,8,8,36,19
9369,5,10,28,42
9368,10,102,10,28
9367,19,43,61,48
9366,16,37,58,36
9365,16,12,54,81
9364,33,13,74,119
9363,1,0,40,40
9362,8,88,96,191
9361,3,3,96,101
9360,14,102,23,138
9359,20,0,80,79
9358,5,20,60,67
9357,9,59,33,100
9356,14,0,99,48
9355,32,0,80,111
9354,7,8,116,23
9353,29,4,74,106
9350,1,0,44,44
9349,12,64,29,5
9348,16,1,84,41
9347,29,58,37,57
9346,16,1,106,29
9345,0,16,110,16
9344,4,46,11,3
9341,1,11,47,5
9340,10,36,25,70
9339,15,76,18,108
9338,3,6,32,2
9334,6,65,61,131
9333,6,24,78,107
9332,8,4,1,4
9331,30,65,37,80
9330,1,0,66,11
9329,8,9,51,4
9328,28,32,24,57
9327,24,2,92,16
9326,15,8,73,95
9325,1,0,106,1
9324,6,0,9,6
9323,28,32,24,57
9322,3,6,33,1
9321,23,1,49,1
9320,58,60,74,172
9319,12,0,80,91
9318,40,34,61,33
9317,40,35,60,34
9316,21,0,39,59
9315,36,22,26,48
9314,19,20,9,3
9313,15,14,48,15
9312,30,46,97,22
9311,91,38,62,62
9310,28,14,18,6
9309,57,45,90,8
9308,20,12,112,3
9307,32,4,112,147
9306,20,0,142,161
9305,0,1,103,103
9304,0,1,76,27
9303,1,4,20,1
9302,4,32,6,12
9301,0,4,52,55
9300,24,34,32,23
9299,12,4,90,1
9298,4,58,12,15
9297,12,0,180,191
9296,4,60,12,15
9295,2,0,18,19
9294,19,63,44,125
9293,68,74,50,177
9292,13,3,58,9
9291,4,0,45,8
9290,1,2,20,4
9289,16,2,80,79
9288,16,16,80,33
9287,12,4,46,61
9286,5,0,129,133
9285,27,16,29,1
9284,32,40,40,4
9283,0,0,17,3
9282,94,52,46,132
9281,15,0,15,15
9280,0,1,17,17
9279,30,42,30,4
9278,53,97,42,145
9277,76,110,6,129
9276,13,0,138,150
9275,11,23,110,143
9274,8,13,103,123
9273,9,0,47,55
9272,9,0,47,55
9271,10,1,42,15
9270,2,1,63,65
9269,4,1,49,53
9268,0,0,15,14
9267,0,0,7,5
9266,8,1,4,7
9265,0,9,103,39
9264,1,3,115,61
9263,7,1,82,25
9262,13,5,63,21
9261,52,87,53,179
9260,8,4,99,105
9259,20,1,56,76
9258,0,0,8,7
9257,0,0,3,1
9256,4,4,56,63
9255,17,72,55,143
9254,0,0,9,4
9253,21,38,55,21
9252,28,0,44,27
9251,48,52,92,48
9250,52,60,32,32
9249,1,15,110,125
9248,40,4,70,91
9247,0,12,31,2
9246,3,82,1,20
9245,20,70,58,20
9244,8,73,24,104
9243,23,37,38,1
9242,20,40,9,18
9241,2,1,12,1
9240,37,37,55,27
9239,23,12,34,23
9238,11,0,118,127
9237,25,26,141,191
9236,68,71,23,20
9235,58,10,106,28
9234,29,6,97,65
9233,21,25,56,97
9232,40,20,54,113
9231,0,0,18,1
9230,0,5,32,2
9229,24,4,14,1
9228,3,6,5,1
9227,2,3,7,6
9226,0,0,51,9
9225,30,30,48,107
9224,27,18,43,87
9223,3,82,1,41
9222,3,88,14,52
9221,52,116,24,17
9220,7,99,15,120
9219,0,0,35,1
9218,1,33,47,4
9217,7,7,7,20
9216,0,1,48,4
9215,0,10,28,37
9214,23,82,43,146
9213,28,24,140,191
9212,52,17,123,83
9211,1,0,11,1
9210,1,0,71,71
9209,8,8,45,60
9208,11,11,58,21
9207,11,14,4,27
9206,5,19,74,1
9205,129,20,43,162
9204,40,80,40,159
9203,89,88,15,140
9202,71,59,62,40
9201,2,0,29,4
9200,52,40,12,103
9199,10,30,21,60
9198,16,24,20,59
9197,1,20,27,1
9196,2,0,15,4
9195,20,60,41,16
9194,22,61,40,114
9193,70,70,52,29
9192,0,12,72,83
9191,69,1,122,52
9190,8,13,113,127
9189,4,7,13,5
9188,9,12,11,4
9187,20,46,14,30
9186,12,15,72,61
9185,3,0,69,71
9184,54,0,42,15
9183,9,12,80,41
9182,26,63,13,72
9181,10,10,59,58
9180,38,1,135,24
9179,53,49,90,191
9178,1,12,94,1
9177,11,0,181,191
9176,5,58,42,1
9175,1,47,12,5
9174,12,1,15,1
9173,11,5,41,56
9172,1,43,2,5
9171,18,54,45,35
9170,35,11,62,36
9169,5,2,23,29
9168,20,16,71,21
9167,3,6,16,1
9166,10,13,94,62
9165,7,18,63,76
9164,2,1,10,4
9163,1,2,10,3
9162,15,68,35,48
9161,90,1,11,1
9160,1,10,27,1
9159,15,74,60,118
9158,1,0,56,56
9157,25,4,108,49
9156,15,3,69,83
9155,40,8,62,81
9154,64,58,32,9
9153,50,42,84,65
9152,2,14,69,9
9151,27,32,15,5
9150,14,20,62,17
9149,6,15,148,21
9148,8,36,45,17
9147,10,0,25,11
9146,25,3,61,18
9145,20,9,75,19
9144,8,14,66,6
9143,14,14,14,11
9142,0,0,28,4
9141,0,0,36,4
9140,0,0,81,4
9139,8,24,30,24
9138,5,0,34,29
9137,3,0,61,15
9136,4,2,127,63
9135,3,0,84,86
9134,9,5,82,52
9133,11,1,99,48
9132,5,1,70,35
9131,20,5,2,7
9130,6,0,50,6
9129,3,1,15,12
9128,5,5,45,6
9127,21,16,73,8
9126,14,37,51,11
9125,6,12,26,11
9124,14,37,52,12
9123,6,7,23,12
9122,6,0,101,6
9121,1,2,10,2
9120,12,0,28,12
9119,12,0,132,143
9118,2,5,26,8
9117,4,0,78,10
9116,0,1,77,77
9115,2,0,76,77
9114,6,0,50,9
9113,6,0,99,4
9112,1,2,17,6
